generation,Individual,Fitness,Genome,steric_stiff,steric_range,surface_stiff,anchor_density,anchor_stiff,hydrolysis
gen0020,0,1.678911,00000011000101111000111111110010,100.0,0.052968749999999995,23.96875,13.4375,471.875,0.278125
gen0020,1,0.117428,00000011100011110001111010001000,100.0,0.056249999999999994,46.9375,24.6875,331.25,0.21250000000000002
gen0020,2,0.469671,00000011100011011101111101010000,100.0,0.056249999999999994,43.109375,24.6875,415.625,0.225
gen0020,3,1.001008,00000111110001101011100000101001,160.9375,0.058124999999999996,20.90625,44.375,50.0,0.2640625
gen0020,4,0.791176,00000111110001100010110000001100,160.9375,0.058124999999999996,19.375,35.9375,50.0,0.21875
gen0020,5,0.583642,00000011111110010001110001101001,100.0,0.059531249999999994,28.5625,24.6875,78.125,0.2640625
gen0020,6,0.668234,00000111000110000101100001011010,160.9375,0.052968749999999995,26.265625,21.875,78.125,0.240625
gen0020,7,0.884129,00000011100111101001111010001001,100.0,0.05671875,45.40625,24.6875,331.25,0.21406250000000002
gen0020,8,0.417636,00000011100011011110100011101010,100.0,0.056249999999999994,43.109375,33.125,134.375,0.265625
gen0020,9,0.537431,00000011100111010101111011010001,100.0,0.05671875,41.578125,24.6875,359.375,0.2265625
gen0020,10,0.275873,00000011100011101101111110011001,100.0,0.056249999999999994,46.171875,24.6875,443.75,0.2390625
gen0020,11,0.444645,00000011100011110001100101011000,100.0,0.056249999999999994,46.9375,21.875,190.625,0.2375
gen0020,12,0.535382,00000110100010100101111001001100,160.9375,0.04875,32.390625,24.6875,303.125,0.21875
gen0020,13,0.509411,00000011100011110110010011001001,100.0,0.056249999999999994,47.703125,30.3125,134.375,0.21406250000000002
gen0020,14,0.928922,00000011110111011000111011101100,100.0,0.05859375,42.34375,13.4375,359.375,0.26875
gen0020,15,2.154844,00000111110011011101111101110101,160.9375,0.058124999999999996,43.109375,24.6875,415.625,0.2828125
gen0020,16,0.487646,00000011100011110011101110001000,100.0,0.056249999999999994,46.9375,44.375,443.75,0.21250000000000002
gen0020,17,1.898946,00011111110001101101111101010011,526.5625,0.058124999999999996,21.671875,24.6875,415.625,0.2296875
gen0020,18,2.163483,00000011100101101011000000101100,100.0,0.05671875,20.90625,38.75,50.0,0.26875
gen0020,19,2.023047,00010111100011010001110000101001,404.6875,0.056249999999999994,40.8125,24.6875,50.0,0.2640625
gen0020,20,1.642999,00000111100011111010110000101001,160.9375,0.056249999999999994,48.46875,35.9375,50.0,0.2640625
gen0020,21,2.175368,00000111100011110110110001001000,160.9375,0.056249999999999994,47.703125,35.9375,78.125,0.21250000000000002
gen0020,22,1.940073,00000111100111011010111000101001,160.9375,0.05671875,42.34375,35.9375,275.0,0.2640625
gen0020,23,1.072796,00000011111110110101000001001000,100.0,0.059531249999999994,35.453125,16.25,78.125,0.21250000000000002
gen0020,24,1.551223,00000011111101011100111011010001,100.0,0.059531249999999994,18.609375,13.4375,359.375,0.2265625
gen0020,25,0.961513,00000110110011101011110101000011,160.9375,0.050624999999999996,45.40625,47.1875,190.625,0.20468750000000002
gen0020,26,1.797889,00000111110011101010110001000000,160.9375,0.058124999999999996,45.40625,35.9375,78.125,0.2
gen0020,27,0.554792,00000011110111100111111001001100,100.0,0.05859375,44.640625,47.1875,303.125,0.21875
